regulator	target	condition	weight
MTRNR2L8	SH2D2A	differential	1
MTRNR2L8	MTRNR2L12	differential	1
MTRNR2L8	AC090498.1	differential	1
MTRNR2L8	SRGN	differential	1
MTRNR2L8	RPS29	differential	1
MTRNR2L8	SSR4	differential	1
MTRNR2L8	NINJ1	non-differential	1
MTRNR2L8	DNAJC9	differential	1
MTRNR2L8	CRIP1	differential	1
MTRNR2L8	CD247	differential	1
HLA-DRA	HLA-DQB1	differential	1
CXCL13	GLA	differential	1
CXCL13	CMC1	differential	1
CXCL13	OAT	differential	1
CXCL13	NAA38	differential	1
MT1E	MT2A	differential	1
MT1E	FTH1	differential	1
MT1E	SYTL3	differential	1
MT1E	JUND	differential	1
HLA-DQA1	HLA-DQB1	differential	1
HLA-DRB1	HLA-DQB1	differential	1
HLA-DRB1	CREM	differential	1
HLA-DQB1	SYNGR2	differential	1
HLA-DQB1	VIM	non-differential	1
HLA-DQB1	HLA-E	differential	1
HLA-DQB1	TNFAIP8	differential	1
FTH1	HIST1H4C	differential	1
FTH1	AC090498.1	differential	1
FTH1	RBM3	differential	1
HLA-DPB1	HLA-DPA1	differential	1
HLA-DPB1	HLA-A	differential	1
GZMB	CTSW	differential	1
GZMB	CTSA	differential	1
GZMB	LCP1	differential	1
HLA-DPA1	NDRG1	differential	1
HLA-DPA1	DNAJC1	differential	1
HLA-DRB5	TUBB	differential	1
HLA-DRB5	SARAF	differential	1
HLA-A	HLA-B	differential	1
HLA-A	RPS29	differential	1
CXCR4	HSPA5	differential	1
CXCR4	GALNT2	differential	1
CXCR4	CDC42EP3	differential	1
CD8A	DNAJB1	non-differential	1
CD8A	BID	non-differential	1
CD8A	ABLIM1	differential	1
CD8A	STAT3	differential	1
HIST1H4C	GGA2	differential	1
HIST1H4C	CXCR3	differential	1
CD83	APOBEC3G	differential	1
HLA-C	HLA-B	differential	1
HLA-C	H2AFX	differential	1
HLA-C	TESC	non-differential	1
STMN1	AQP3	differential	1
STMN1	LY6E	differential	1
STMN1	PIK3IP1	differential	1
MT1X	CD69	differential	1
MT1X	ISG15	non-differential	1
MT1X	ID2	differential	1
MT1X	GZMM	differential	1
MT1X	ABLIM1	differential	1
GZMK	CCL5	differential	1
GZMK	TRAF1	differential	1
GZMK	LMNB1	non-differential	1
DUSP2	CLEC2B	differential	1
DUSP2	NINJ1	non-differential	1
DUSP2	TSC22D3	differential	1
DUSP2	MGST3	differential	1
SAT1	LTB	differential	1
SAT1	AKNA	differential	1
SAT1	IER2	non-differential	1
NKG7	CKS2	differential	1
NKG7	TXNRD1	differential	1
NKG7	RPL13A	differential	1
CCR7	MAP3K8	differential	1
CCR7	NDRG1	differential	1
CCR7	IGFLR1	differential	1
CCR7	MVD	differential	1
ZFP36	TNFAIP3	differential	1
ZFP36	LGALS3	differential	1
ZFP36	SQSTM1	differential	1
DUSP4	PDE4B	differential	1
DUSP4	SLC7A5	differential	1
DUSP4	JUND	differential	1
DUSP4	YWHAH	differential	1
HSPB1	GZMA	differential	1
HSPB1	LGALS3	differential	1
HSPB1	SEMA4D	differential	1
ACTB	ATP1B3	differential	1
ACTB	CD5	differential	1
ACTB	GALM	differential	1
LGALS1	TSPYL2	differential	1
LGALS1	SRGN	differential	1
LGALS1	MAGED2	differential	1
LGALS1	LMBRD1	differential	1
GPR183	AKNA	differential	1
GPR183	FAM50A	differential	1
MT1F	GGA2	differential	1
TXN	RARRES3	differential	1
TXN	BID	non-differential	1
CARD16	SYAP1	differential	1
RGS2	BTG1	differential	1
RGS2	PRKX	differential	1
RGS2	STAM	differential	1
RGS2	CDK4	differential	1
RGS1	GPX4	differential	1
SLA2	CMC1	differential	1
GADD45B	DDIT4	differential	1
GADD45B	CD44	differential	1
BTG1	FOSL2	differential	1
SH2D2A	SPTBN1	differential	1
TUBA1B	PLIN2	non-differential	1
TUBA1B	TOM1	differential	1
TIGIT	ITM2C	differential	1
TIGIT	GPCPD1	differential	1
TIGIT	AHNAK	differential	1
TIGIT	SLC1A4	non-differential	1
GK	GPCPD1	differential	1
GK	SQSTM1	differential	1
GK	TSC22D3	differential	1
GK	RASGRP1	differential	1
GK	TGFBR2	non-differential	1
HLA-B	SDCBP	differential	1
CTSW	BID	non-differential	1
CTSW	FAM50A	differential	1
LAG3	ITGA4	non-differential	1
SOX4	CPNE3	differential	1
SOX4	NEAT1	differential	1
SOX4	SLC16A3	differential	1
SOX4	ITGA4	non-differential	1
SLC2A3	RPS29	differential	1
SLC2A3	DYNLT3	differential	1
DUT	HLA-E	differential	1
DUT	SQSTM1	differential	1
DUT	TIMM13	differential	1
DUT	KIF22	differential	1
MTRNR2L12	RARRES3	differential	1
MTRNR2L12	SYTL3	differential	1
MTRNR2L12	OASL	differential	1
DUSP1	SPOCK2	differential	1
DUSP1	PCED1B	differential	1
ACP5	SETD2	differential	1
ACP5	CSRNP1	differential	1
ACP5	PBXIP1	differential	1
ACP5	MVP	differential	1
S100A4	CTSC	non-differential	1
S100A4	MVD	differential	1
CXCR6	IL7R	differential	1
TNFRSF4	CTSA	differential	1
TUBB	GTF3A	differential	1
ZNF331	CCND2	differential	1
AQP3	SYTL3	differential	1
AQP3	TPM4	differential	1
AQP3	LAMP1	differential	1
PFN1	HERPUD1	differential	1
PFN1	HMGN2	differential	1
PFN1	IRF7	differential	1
AC092580.4	DCP1B	differential	1
AC092580.4	SARAF	differential	1
AC092580.4	AHNAK	differential	1
HERPUD1	AK6	differential	1
HERPUD1	IL16	differential	1
SERPINB9	SOCS1	differential	1
PIK3R1	LITAF	differential	1
PIK3R1	SEMA4D	differential	1
PIK3R1	CTSA	differential	1
ZFP36L2	LGALS3	differential	1
ZFP36L2	CD37	differential	1
IL7R	ANXA1	differential	1
IL7R	FYN	differential	1
IFI6	ISG15	non-differential	1
IFI6	LAMP1	differential	1
IFI6	TGFBR2	non-differential	1
AC090498.1	RASGRP1	differential	1
PRF1	ACTG1	differential	1
PRF1	NHP2	differential	1
GGA2	POGLUT1	differential	1
GGA2	RABAC1	differential	1
ATP1B3	HSPA5	differential	1
ATP1B3	SPTAN1	differential	1
ATP1B3	JUND	differential	1
ATP1B3	CTSA	differential	1
JUN	TSHZ2	differential	1
NR4A2	GIMAP4	differential	1
NR4A2	EIF4A1	differential	1
NR4A2	TGFBR2	non-differential	1
NR4A2	PIK3IP1	differential	1
LTB	RPS27	differential	1
LTB	CORO1B	differential	1
LTB	FAM118A	differential	1
GZMA	CTSS	differential	1
CD96	PRELID1	differential	1
SERPINB1	NAA38	differential	1
SESN3	LCP1	differential	1
ANXA1	SDCBP	differential	1
CXCR3	CD5	differential	1
CXCR3	HMGB1	differential	1
CXCR3	NCDN	non-differential	1
CXCR3	SYPL1	differential	1
CXCR3	CD48	non-differential	1
RPS27	HMGB1	differential	1
PFKFB3	CTLA4	non-differential	1
PFKFB3	FAM65B	differential	1
PIM2	PTGER4	differential	1
RARRES3	SETD2	differential	1
RARRES3	GMFG	differential	1
RARRES3	GPR171	differential	1
CST7	C12ORF75	differential	1
CST7	MGST3	differential	1
TSPYL2	ABLIM1	differential	1
TSPYL2	TPM4	differential	1
TSPYL2	PBXIP1	differential	1
TSPYL2	SUN2	differential	1
TSPYL2	NFKB1	differential	1
GABARAPL1	MALAT1	differential	1
GABARAPL1	TUBA4A	differential	1
GABARAPL1	DNMT1	differential	1
HLA-DMA	SMC4	non-differential	1
HLA-DMA	ITGAE	non-differential	1
JUNB	NINJ1	non-differential	1
JUNB	CSRNP1	differential	1
JUNB	SRSF3	differential	1
JUNB	OAT	differential	1
C12ORF75	GALNT2	differential	1
C12ORF75	TPM4	differential	1
C12ORF75	HSP90B1	non-differential	1
C12ORF75	DOK2	non-differential	1
HSP90AA1	SYTL3	differential	1
REL	LDLRAD4	differential	1
SYTL3	TSHZ2	differential	1
SYTL3	CCNDBP1	differential	1
FYN	CCNDBP1	differential	1
FYN	EIF4A1	differential	1
RPS2	ACTG1	differential	1
RPS2	JAML	differential	1
NR3C1	BIRC2	differential	1
PTPRC	PKM	differential	1
