Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
DISGENET	C1260899~Anemia, Diamond-Blackfan	25	1.2183235867446394	1.919305709484505E-17	RPL5, RPL31, RPL11, RPL9, RPS15, RPS17, RPS15A, RPL36, RPL35, RPL13, RPL15, RPL18, RPS10, RPL19, RPS7, RPL23, RPL35A, RPS26, RPS28, RPS27, RPS29, TSR2, RPL27, RPL26, RPS24	1168	30	9699	6.919948630136985	5.646597397303414E-14	5.646597397303414E-14	5.590937531728363E-14
DISGENET	C0019693~HIV Infections	41	1.9980506822612085	2.7167423034261487E-12	EIF4A1, CDKN1A, HSP90AB1, ODC1, TAF9, MAZ, HSPB1, IPO7, HSPD1, ARHGAP4, PSMD8, YY1, HSPH1, GRPEL1, ARHGDIA, ARHGDIB, PSMD3, CLIC1, SF3A3, CCT3, HSPA9, RANBP1, HSP90AA1, IL4R, GADD45A, GTF3A, HLA-B, HLA-C, NUTF2, RAB11B, PSMC5, PSMC3, DNAJC7, PSME3, CD28, BAX, PPIB, BIRC2, KPNB1, BIRC3, SRSF9	1168	103	9699	3.3054511903178616	7.992577710780324E-9	2.664218618893243E-9	2.6379567766267905E-9
DISGENET	C4505456~HIV Coinfection	41	1.9980506822612085	2.7167423034261487E-12	EIF4A1, CDKN1A, HSP90AB1, ODC1, TAF9, MAZ, HSPB1, IPO7, HSPD1, ARHGAP4, PSMD8, YY1, HSPH1, GRPEL1, ARHGDIA, ARHGDIB, PSMD3, CLIC1, SF3A3, CCT3, HSPA9, RANBP1, HSP90AA1, IL4R, GADD45A, GTF3A, HLA-B, HLA-C, NUTF2, RAB11B, PSMC5, PSMC3, DNAJC7, PSME3, CD28, BAX, PPIB, BIRC2, KPNB1, BIRC3, SRSF9	1168	103	9699	3.3054511903178616	7.992577710780324E-9	2.664218618893243E-9	2.6379567766267905E-9
DISGENET	C2931850~Aase Smith syndrome 2	13	0.6335282651072125	2.80955553411791E-9	RPL5, RPS28, RPS15A, RPS27, RPS29, TSR2, RPL35, RPL27, RPL26, RPL15, RPL18, RPS10, RPS24	1168	15	9699	7.196746575342465	8.26567839107284E-6	2.0664280953437228E-6	2.0460588177213678E-6
DISGENET	C0494261~Combined immunodeficiency	19	0.9259259259259258	3.2654883225991907E-7	STAT5A, ITK, STAT5B, STAT1, PRKDC, DOCK8, TRAC, RHOH, MSN, CD3G, PIK3R1, ZAP70, PNP, LCK, IL21R, CD27, CTLA4, ICOS, TNFRSF4	1168	41	9699	3.84816655529569	9.602454904565905E-4	1.9214133290173637E-4	1.9024734967462885E-4
DISGENET	C0038325~Stevens-Johnson Syndrome	15	0.7309941520467835	2.7690495972641357E-6	PARP1, CELF2, HLA-B, CUL1, HLA-C, HLA-A, IKZF1, PML, RBX1, CUL4A, PSMC5, COPS5, ELMO1, EP300, CTNNB1	1168	30	9699	4.151969178082191	0.008113461939872169	0.0013577573191918479	0.0013443735794717378
DISGENET	C3658301~Mycoplasma-Induced Stevens-Johnson Syndrome	14	0.682261208576998	1.0954730743430105E-5	PARP1, CELF2, HLA-B, CUL1, HLA-C, HLA-A, PML, RBX1, CUL4A, PSMC5, COPS5, ELMO1, EP300, CTNNB1	1168	29	9699	4.00879782711384	0.031715175091065584	0.0031692744176557066	0.003138034119181194
DISGENET	C0014518~Toxic Epidermal Necrolysis	14	0.682261208576998	1.0954730743430105E-5	PARP1, CELF2, HLA-B, CUL1, HLA-C, HLA-A, PML, RBX1, CUL4A, PSMC5, COPS5, ELMO1, EP300, CTNNB1	1168	29	9699	4.00879782711384	0.031715175091065584	0.0031692744176557066	0.003138034119181194
DISGENET	C3658302~Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	14	0.682261208576998	1.0954730743430105E-5	PARP1, CELF2, HLA-B, CUL1, HLA-C, HLA-A, PML, RBX1, CUL4A, PSMC5, COPS5, ELMO1, EP300, CTNNB1	1168	29	9699	4.00879782711384	0.031715175091065584	0.0031692744176557066	0.003138034119181194
DISGENET	C1274933~Drug-Induced Stevens Johnson Syndrome	14	0.682261208576998	1.0954730743430105E-5	PARP1, CELF2, HLA-B, CUL1, HLA-C, HLA-A, PML, RBX1, CUL4A, PSMC5, COPS5, ELMO1, EP300, CTNNB1	1168	29	9699	4.00879782711384	0.031715175091065584	0.0031692744176557066	0.003138034119181194
DISGENET	C0023893~Liver Cirrhosis, Experimental	133	6.481481481481481	1.1849768386884015E-5	IFITM1, CD83, GMFG, SLA, THYN1, SMC5, IFI35, GLS, DOCK10, TIAL1, LGALS3, STK10, RGS2, LGALS1, ARHGDIB, COTL1, MAP3K8, SLC39A8, SOX4, TPM4, IFRD1, ERN1, MYADM, S100A6, VOPP1, CDC42SE1, SP140, IQGAP1, NDRG1, RTN4, LDHB, DPP7, SOCS1, INPP5D, LPXN, LTA4H, ATP6V1D, S100A11, S100A10, HEXIM1, SMAD2, RABGAP1L, CRTAP, TGFB1, MSN, NMI, ISG20, NFKBIA, ARHGAP30, REEP5, RSRP1, CYSTM1, FXYD5, NFE2L2, CDKN1A, TNFAIP8, ARPC1B, CELF2, ITGB2, ILK, YBX1, ITGAL, DUSP16, PPP1R18, CTSS, RBM3, GLIPR1, PSTPIP1, MAP1LC3A, LBH, CASP4, TSPO, EMB, IKBKG, AP3S1, TIMP1, SPTAN1, SNAP29, CLIC1, RAB8B, CD53, ANXA1, IFNGR1, ANXA5, SERPINB9, FOS, YWHAZ, TGFBR2, RBL2, GCHFR, RCN2, TMBIM1, PLIN2, CD48, LCP1, LTB, HAGH, BIRC3, SASH3, CD63, OAT, AHNAK, SLC20A1, MVP, CAPG, ADD3, IL2RG, GNAI2, CCL5, S1PR1, FLNA, GBP2, GBP4, PTPN1, CD74, CMTM3, GK, GZMA, LAPTM5, U2SURP, PSMB8, PSMB9, FKBP1A, KLF6, DHRS7, FMNL1, NAGK, CCNG1, CD7, IL2RB, RGS10, FAS, VIM	1168	774	9699	1.4269041361367738	0.03426153843534241	0.0031692744176557066	0.003138034119181194
DISGENET	C1708349~Hereditary Diffuse Gastric Cancer	60	2.923976608187134	3.869799677069005E-5	CDKN1A, UBXN1, PREP, HSPB1, RORA, AHR, PRPF19, WDR46, RPS15, TUBA1C, LGALS3, RGS2, CASP8, PPP2R1A, IDH3B, SLC16A3, CTSC, ABT1, PGAM1, ANXA5, RHOA, ARFGAP2, DDB1, EEF1A1, IRF1, SUCLG1, PLIN2, BIRC2, FKBP2, DNMT1, ECHS1, KMT2A, KMT2C, URM1, CST7, HSPD1, TYMP, RPL13, RPL15, BID, RPL18, SNX5, IL32, NOP56, HSPA8, NPM1, JUN, PDHA1, TAF15, GADD45A, NDUFA2, STAT3, M6PR, PA2G4, RPS26, HNRNPL, KLF6, CDK4, APEX1, RPS21	1168	293	9699	1.700465192388611	0.10760972086595233	0.00948745887494751	0.009393938716085008
DISGENET	C3714756~Intellectual Disability	83	4.044834307992202	4.774742314352608E-5	KDM5A, SETD2, DDX3X, RNF13, DOCK8, CCDC47, ZNF292, EIF4A3, ADK, NKAP, HNRNPU, RORA, TSEN54, SYNE1, PQBP1, EEF1B2, YY1, MECP2, ZMYM2, TFG, PPP2R1A, NUP62, POGZ, RAC1, SOX4, AP2M1, KDM6B, ADSL, SUPT16H, PARP1, RALGAPA1, FBXW11, RNASET2, MSL3, ALG13, ASH1L, RNF125, TMX2, CSDE1, WAC, PHIP, TSEN34, KMT2E, RNASEH2C, CSTB, MACF1, DDX6, RALA, SET, KMT2C, ODC1, SLC1A4, ATP1A1, OSGEP, PPP2CA, C12ORF57, RNF113A, UGP2, PUF60, NSD1, METTL5, BPTF, DYNC1H1, TRAPPC4, GOT2, PUM1, GFER, RAB11A, RAB11B, TMCO1, AHI1, STAG1, GON4L, STAG2, KANSL1, PRKRA, GNAS, STT3A, ACIN1, TPP1, QRICH1, EIF3F, CDK16	1168	447	9699	1.5418945940976374	0.1310557175275161	0.01044796544241475	0.010344977339821268
