ID	Gene Name	Species	GAD_DISEASE
PDPK1	3-phosphoinositide dependent protein kinase 1(PDPK1)	Homo sapiens	Adenocarcinoma, Papillary|thyroid neoplasm|Thyroid Neoplasms,plasma HDL cholesterol (HDL-C) levels,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,pyrimidine 5' nucleotidase-I deficiency,
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
AKAP13	A-kinase anchoring protein 13(AKAP13)	Homo sapiens	Graft vs Host Disease,Tobacco Use Disorder,breast cancer,coronary spastic angina,smoking cessation,
ACD	ACD shelterin complex subunit and telomerase recruitment factor(ACD)	Homo sapiens	Cardiovascular Diseases|Cerebrovascular Disorders,breast cancer   ,glucocorticoid deficiency triple A syndrome,
ADAM8	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	Alzheimer's disease   ,Asthma|Hypersensitivity,atherosclerosis,ovarian cancer,
ARF1	ADP ribosylation factor 1(ARF1)	Homo sapiens	Alzheimer's disease   ,HIV Infections|[X]Human immunodeficiency virus disease,Occupational Diseases,
AAK1	AP2 associated kinase 1(AAK1)	Homo sapiens	Parkinson Disease,Parkinson's disease    ,Parkinson's disease (age of onset),Tobacco Use Disorder,
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	Graves Disease,Lupus Erythematosus, Systemic,ankylosing spondylitis,drug-related genes ,
ABCF2	ATP binding cassette subfamily F member 2(ABCF2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,drug-related genes ,
ACLY	ATP citrate lyase(ACLY)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,longevity,plasma HDL cholesterol (HDL-C) levels,schizophrenia,
ATP6V0C	ATPase H+ transporting V0 subunit c(ATP6V0C)	Homo sapiens	Autism,
ATP6V1B2	ATPase H+ transporting V1 subunit B2(ATP6V1B2)	Homo sapiens	Depressive Disorder, Major,Hemoglobins,Mental Disorders,Tobacco Use Disorder,major depressive disorder (broad),
ATP2B1	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)	Homo sapiens	Biomedical quantitative traits,Blood Pressure,Diastolic blood pressure,Hypertension,Type 2 Diabetes| edema | rosiglitazone,hypertension,normal variation,systolic blood pressure,
ATP2B4	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)	Homo sapiens	Hemoglobins,Hypertension,Iron,Tobacco Use Disorder,
ATRX	ATRX chromatin remodeler(ATRX)	Homo sapiens	breast cancer   ,
AHI1	Abelson helper integration site 1(AHI1)	Homo sapiens	Autism,Joubert syndrome nephronophthisis,Multiple Sclerosis,Schizophrenia,Tobacco Use Disorder,Type 2 diabetes,schizophrenia,
ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)	Homo sapiens	Hemoglobin A, Glycosylated,response to TNF antagonist treatment,von Willebrand Factor,
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)	Homo sapiens	Tobacco Use Disorder,longevity,
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)	Homo sapiens	Tobacco Use Disorder,
BAG1	BAG cochaperone 1(BAG1)	Homo sapiens	Head and Neck Neoplasms|Neoplasm Recurrence, Local|Neoplasms, Second Primary,Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Type 2 Diabetes| edema | rosiglitazone,narcolepsy,
BBX	BBX high mobility group box domain containing(BBX)	Homo sapiens	Arteries,Body Fat Distribution,Body Mass Index,Body Weight,Celiac Disease|,Cholesterol,Insulin,Insulin Resistance,Smoking,Waist Circumference,Waist-Hip Ratio,smoking behavior,
BID	BH3 interacting domain death agonist(BID)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Adenocarcinoma|Lymphatic Metastasis|Stomach Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Hepatitis C, Chronic|HIV Infections|Liver Diseases,Leukemia, Lymphocytic, Chronic, B-Cell,Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,breast cancer   ,clubfoot,colorectal cancer,diabetes, type 1 ,esophageal adenocarcinoma,
BORCS5	BLOC-1 related complex subunit 5(BORCS5)	Homo sapiens	Breath Tests,Magnesium,
