ID	Gene Name	Species	DISGENET
PDPK1	3-phosphoinositide dependent protein kinase 1(PDPK1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0018801~Heart failure,C0018802~Congestive heart failure,C0023212~Left-Sided Heart Failure,C0079744~Diffuse Large B-Cell Lymphoma,C0235527~Heart Failure, Right-Sided,C0496956~Neoplasm of uncertain or unknown behavior of breast,C0678222~Breast Carcinoma,C0858252~Breast adenocarcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1959583~Myocardial Failure,C1961112~Heart Decompensation,C4704874~Mammary Carcinoma, Human,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL)	Homo sapiens	C3554344~Phosphohydroxylysinuria,
AKAP13	A-kinase anchoring protein 13(AKAP13)	Homo sapiens	C0007134~Renal Cell Carcinoma,C0014859~Esophageal Neoplasms,C0033578~Prostatic Neoplasms,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C0376358~Malignant neoplasm of prostate,C0546837~Malignant neoplasm of esophagus,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,
ACD	ACD shelterin complex subunit and telomerase recruitment factor(ACD)	Homo sapiens	C0265965~Dyskeratosis Congenita,C1846142~HOYERAAL-HREIDARSSON SYNDROME,C2314896~Familial Atypical Mole Melanoma Syndrome,C4225284~DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6,
ADAM8	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	C0019193~Hepatitis, Toxic,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
ARF1	ADP ribosylation factor 1(ARF1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0027626~Neoplasm Invasiveness,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1868720~Periventricular Nodular Heterotopia,C4704874~Mammary Carcinoma, Human,C4748602~PERIVENTRICULAR NODULAR HETEROTOPIA 8,
ARL2BP	ADP ribosylation factor like GTPase 2 binding protein(ARL2BP)	Homo sapiens	C0035334~Retinitis Pigmentosa,C0154860~Hereditary retinal dystrophy,C4747737~RETINITIS PIGMENTOSA 82 WITH OR WITHOUT SITUS INVERSUS,
ASH1L	ASH1 like histone lysine methyltransferase(ASH1L)	Homo sapiens	C0023903~Liver neoplasms,C0033578~Prostatic Neoplasms,C0345904~Malignant neoplasm of liver,C0376358~Malignant neoplasm of prostate,C1535926~Neurodevelopmental Disorders,C3714756~Intellectual Disability,C4540478~MENTAL RETARDATION, AUTOSOMAL DOMINANT 52,
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	C0020517~Hypersensitivity,C0032285~Pneumonia,C0032300~Lobar Pneumonia,C0235874~Disease Exacerbation,C0887898~Experimental Lung Inflammation,C1527304~Allergic Reaction,C3714636~Pneumonitis,
