Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	1/6	0.000599909243874975	0.0090630870792717	0	0	3998.6	29664.54247254577	TAPBP
GO_Biological_Process_2018	ncRNA transcription (GO:0098781)	1/14	0.0013995161171866	0.0090630870792717	0	0	1537.3076923076924	10102.615401748277	GTF3A
GO_Biological_Process_2018	rRNA transcription (GO:0009303)	1/16	0.0015993683081067	0.0090630870792717	0	0	1332.2	8576.89881409571	GTF3A
GO_Biological_Process_2018	transcription from RNA polymerase III promoter (GO:0006383)	1/27	0.002698199767182	0.009513416436079	0	0	768.1538461538462	4543.760955824783	GTF3A
GO_Biological_Process_2018	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	1/28	0.0027980636576703	0.009513416436079	0	0	739.6666666666666	4348.372853162505	TAPBP
GO_Biological_Process_2018	ribosomal large subunit biogenesis (GO:0042273)	1/63	0.0062901569024662	0.0150810958430095	0	0	321.5483870967742	1629.8545813511064	GTF3A
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	1/75	0.0074860380502322	0.0150810958430095	0	0	269.2432432432432	1317.8690993057355	TAPBP
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	1/78	0.007784895945786	0.0150810958430095	0	0	258.7142857142857	1256.2052828327428	TAPBP
GO_Biological_Process_2018	retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)	1/80	0.0079841095639462	0.0150810958430095	0	0	252.13924050632912	1217.9086820148373	TAPBP
GO_Biological_Process_2018	vesicle fusion (GO:0006906)	1/94	0.0093780453381396	0.0159426770748373	0	0	214.03225806451613	999.3987849821876	TAPBP
GO_Biological_Process_2018	macromolecular complex assembly (GO:0065003)	1/120	0.0119641848635205	0.0182163498702919	0	0	167.05042016806723	739.3380451564769	TAPBP
GO_Biological_Process_2018	regulation of macromolecule metabolic process (GO:0060255)	1/129	0.0128585999084413	0.0182163498702919	0	0	155.234375	675.850486260868	TAPBP
GO_Biological_Process_2018	rRNA metabolic process (GO:0016072)	1/200	0.0199003457594268	0.0260235290700196	0	0	99.4924623115578	389.7137829068205	GTF3A
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	1/226	0.0224727098140224	0.0272882904884558	0	0	87.88	333.5444626387923	GTF3A
GO_Biological_Process_2018	Golgi vesicle transport (GO:0048193)	1/271	0.0269168921721508	0.0305058111284376	0	0	73.06666666666666	264.13608970174374	TAPBP
GO_Biological_Process_2018	transcription, DNA-templated (GO:0006351)	1/356	0.0352838369166556	0.0374890767239466	0	0	55.33239436619719	185.04980291851197	GTF3A
GO_Biological_Process_2018	regulation of gene expression (GO:0010468)	1/1037	0.1010137385811784	0.1010137385811784	0	0	18.3030888030888	41.95980812599307	TAPBP
