source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0050896	response to stimulus	5.8739194526870414e-36	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	8976	355	272	21031	0.7661971830985915	0.030303030303030304	query_1	['GO:0008150']
GO:BP	GO:0002376	immune system process	1.1919845978996376e-33	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2776	355	142	21031	0.4	0.051152737752161385	query_1	['GO:0008150']
GO:BP	GO:0048522	positive regulation of cellular process	2.074221281539107e-31	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5717	355	206	21031	0.5802816901408451	0.03603288437991954	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']
GO:BP	GO:0006950	response to stress	4.243726924892906e-31	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3855	355	165	21031	0.4647887323943662	0.042801556420233464	query_1	['GO:0050896']
GO:BP	GO:0048518	positive regulation of biological process	4.2623696494897e-31	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	6250	355	216	21031	0.6084507042253521	0.03456	query_1	['GO:0008150', 'GO:0050789']
GO:BP	GO:0051716	cellular response to stimulus	6.671977526908708e-31	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	7394	355	237	21031	0.6676056338028169	0.032053015958885586	query_1	['GO:0009987', 'GO:0050896']
GO:BP	GO:0010033	response to organic substance	7.212609754704179e-31	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2637	355	134	21031	0.37746478873239436	0.05081532043989382	query_1	['GO:0042221']
GO:BP	GO:0070887	cellular response to chemical stimulus	1.0277799907518274e-30	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2683	355	135	21031	0.38028169014084506	0.050316809541557955	query_1	['GO:0042221', 'GO:0051716']
GO:CC	GO:0005737	cytoplasm	2.9134177672683875e-29	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	12345	358	303	22097	0.8463687150837989	0.02454434993924666	query_1	['GO:0005622', 'GO:0110165']
GO:BP	GO:0012501	programmed cell death	3.439276283380858e-29	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1984	355	113	21031	0.3183098591549296	0.05695564516129032	query_1	['GO:0008219']
GO:BP	GO:0006955	immune response	4.132976362663813e-29	True	"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]"	1988	355	113	21031	0.3183098591549296	0.056841046277665994	query_1	['GO:0002376', 'GO:0050896']
